Area of Operation,Task,Type,ACS Code,Description,61.107(b)(1),61.105(b),61.93(e),61.87(d)
,C. Power-On Stalls,Objective,PA.VII.C,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with power-on stalls.",,,,
,,Knowledge,PA.VII.C.K1,"Aerodynamics of power-on stalls (e.g., torque, spiraling slipstream).",,,,
,,,PA.VII.C.K2,Indications of an impending stall during power-on conditions.,,,,
,,Risk Management,PA.VII.C.R1,Inadvertent spin during a power-on stall maneuver.,,,,
,,,PA.VII.C.R2,Collision hazards during low-altitude stall practice.,,,,
,,Skills,PA.VII.C.S1,"Select an entry altitude that allows recovery above 1,500 feet AGL or the manufacturerâ€™s recommended altitude, whichever is higher.",,,,
,,,PA.VII.C.S2,Establish takeoff or departure configuration with power set to no less than 65% available power and induce a stall in a straight-ahead or turning configuration (up to 20Â° bank).,,,,
,,,PA.VII.C.S3,"Recognize the first indication of a stall and promptly recover by reducing angle of attack, applying maximum power, and leveling the wings, maintaining altitude Â±100 feet after recovery.",,,,
,,,PA.VII.C.S4,"Maintain coordination throughout the maneuver (e.g., ball centered).",,,,
,D. Spin Awareness,Objective,PA.VII.D,To determine that the applicant exhibits satisfactory knowledge and risk management associated with spins (spin demonstration is not required).,,,,
,,Knowledge,PA.VII.D.K1,"Aerodynamics of spins (e.g., stalled condition, autorotation).",,,,
,,,PA.VII.D.K2,"Situations that could lead to an inadvertent spin (e.g., uncoordinated flight, stall during a turn).",,,,
,,,PA.VII.D.K3,Spin recovery procedures per the POH/AFM.,,,,
,,Risk Management,PA.VII.D.R1,Situations that could lead to an inadvertent spin and failure to recognize or recover promptly.,,,,
,,Skills,PA.VII.D.S1,"Explain spin aerodynamics, recognition, and recovery procedures based on a scenario provided by the evaluator.",,,,
VIII. Basic Instrument Maneuvers,A. Straight-and-Level Flight,Objective,PA.VIII.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with maintaining straight-and-level flight solely by reference to instruments.",,,,
,,Knowledge,PA.VIII.A.K1,"Instrument indications for straight-and-level flight (e.g., attitude indicator, altimeter, heading indicator).",,,,
,,,PA.VIII.A.K2,Instrument scan and interpretation techniques.,,,,
,,Risk Management,PA.VIII.A.R1,Spatial disorientation and improper instrument cross-check.,,,,
,,Skills,PA.VIII.A.S1,"Maintain straight-and-level flight using proper instrument cross-check and interpretation, Â±200 feet altitude and Â±20Â° heading.",,,,
,B. Constant Airspeed Climbs,Objective,PA.VIII.B,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with constant airspeed climbs solely by reference to instruments.",,,,
,,Knowledge,PA.VIII.B.K1,"Instrument indications for constant airspeed climbs (e.g., airspeed indicator, attitude indicator, vertical speed indicator).",,,,
,,Risk Management,PA.VIII.B.R1,Spatial disorientation and improper instrument cross-check during climbs.,,,,
,,Skills,PA.VIII.B.S1,"Transition to a constant airspeed climb from straight-and-level flight, maintaining airspeed Â±10 knots, heading Â±20Â°, and altitude Â±200 feet at termination.",,,,
,C. Constant Airspeed Descents,Objective,PA.VIII.C,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with constant airspeed descents solely by reference to instruments.",,,,
,,Knowledge,PA.VIII.C.K1,"Instrument indications for constant airspeed descents (e.g., airspeed indicator, attitude indicator, vertical speed indicator).",,,,
,,Risk Management,PA.VIII.C.R1,Spatial disorientation and improper instrument cross-check during descents.,,,,
,,Skills,PA.VIII.C.S1,"Transition to a constant airspeed descent from straight-and-level flight, maintaining airspeed Â±10 knots, heading Â±20Â°, and altitude Â±200 feet at termination.",,,,
,D. Turns to Headings,Objective,PA.VIII.D,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with turns to headings solely by reference to instruments.",,,,
,,Knowledge,PA.VIII.D.K1,"Instrument indications for turns to headings (e.g., attitude indicator, heading indicator, turn coordinator).",,,,
,,,PA.VIII.D.K2,Standard-rate turns and their relationship to heading changes.,,,,
,,Risk Management,PA.VIII.D.R1,Spatial disorientation and improper instrument cross-check during turns.,,,,
,,Skills,PA.VIII.D.S1,"Perform a standard-rate turn to a specified heading, maintaining altitude Â±200 feet, airspeed Â±10 knots, and roll out on heading Â±10Â°.",,,,
,E. Recovery from Unusual Flight Attitudes,Objective,PA.VIII.E,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with recovering from unusual flight attitudes solely by reference to instruments.",,,,
,,Knowledge,PA.VIII.E.K1,"Instrument indications of unusual flight attitudes (e.g., nose-high, nose-low, excessive bank).",,,,
,,,PA.VIII.E.K2,Recovery procedures for unusual flight attitudes per the POH/AFM.,,,,
,,Risk Management,PA.VIII.E.R1,Spatial disorientation and delayed recovery from unusual attitudes.,,,,
,,,PA.VIII.E.R2,Exceeding airplane limitations during recovery attempts.,,,,
,,Skills,PA.VIII.E.S1,"Recognize an unusual flight attitude and apply appropriate recovery techniques using proper instrument cross-check, returning to straight-and-level flight.",,,,
,"F. Radio Communications, Navigation Systems/Facilities, and Radar Services",Objective,PA.VIII.F,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with radio communications, navigation systems/facilities, and radar services under simulated or actual instrument conditions.",,,,
,,Knowledge,PA.VIII.F.K1,"Radio communication procedures under instrument conditions (e.g., ATC clearance, emergency communications).",,,,
,,,PA.VIII.F.K2,"Use of navigation systems/facilities (e.g., VOR, GPS) for instrument flight.",,,,
,,,PA.VIII.F.K3,"Radar services available under instrument conditions (e.g., vectors, weather avoidance).",,,,
,,Risk Management,PA.VIII.F.R1,Miscommunication with ATC or failure to comply with instructions.,,,,
,,,PA.VIII.F.R2,Overreliance on navigation systems without cross-checking.,,,,
,,Skills,PA.VIII.F.S1,Use proper radio communication procedures to obtain information or assistance from ATC or other facilities under simulated or actual instrument conditions.,,,,
,,,PA.VIII.F.S2,Use an installed navigation system/facility to intercept and track a specified course or radial.,,,,
IX. Emergency Operations,A. Emergency Descent,Objective,PA.IX.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with performing an emergency descent.",,,,
,,Knowledge,PA.IX.A.K1,"Situations requiring an emergency descent (e.g., cabin fire, depressurization).",,,,
,,,PA.IX.A.K2,Emergency descent procedures per the POH/AFM.,,,,
,,Risk Management,PA.IX.A.R1,Delayed initiation of an emergency descent.,,,,
,,,PA.IX.A.R2,Exceeding airplane limitations during an emergency descent.,,,,
,,Skills,PA.IX.A.S1,Recognize the need for an emergency descent and initiate the procedure promptly per the POH/AFM.,,,,
,,,PA.IX.A.S2,"Maintain positive load factors and airspeed within limitations during the descent, Â±10 knots of recommended speed.",,,,
,,,PA.IX.A.S3,"Level off at a specified altitude, Â±200 feet.",,,,
,B. Emergency Approach and Landing (Simulated),Objective,PA.IX.B,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with an emergency approach and landing.",,,,
,,Knowledge,PA.IX.B.K1,"Situations requiring an emergency approach and landing (e.g., engine failure).",,,,
,,,PA.IX.B.K2,Emergency approach and landing procedures per the POH/AFM.,,,,
,,Risk Management,PA.IX.B.R1,Delayed decision to execute an emergency landing.,,,,
,,,PA.IX.B.R2,Collision hazards with obstacles or terrain during an emergency approach and landing.,,,,
,,Skills,PA.IX.B.S1,Analyze the situation and select an appropriate landing area within gliding distance.,,,,
,,,PA.IX.B.S2,"Establish and maintain the recommended best glide airspeed, Â±10 knots, and configuration for the emergency approach.",,,,
,,,PA.IX.B.S3,"Maneuver to land in the selected area, considering wind, terrain, and obstacles, and complete the appropriate checklist.",,,,
,C. Systems and Equipment Malfunctions,Objective,PA.IX.C,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with systems and equipment malfunctions.",,,,
,,Knowledge,PA.IX.C.K1,"Common systems and equipment malfunctions (e.g., electrical failure, vacuum failure, landing gear issues).",,,,
,,,PA.IX.C.K2,Emergency procedures for systems and equipment malfunctions per the POH/AFM.,,,,
,,Risk Management,PA.IX.C.R1,Failure to recognize and respond to systems or equipment malfunctions.,,,,
,,,PA.IX.C.R2,Improper management of malfunctions leading to loss of control or unsafe flight conditions.,,,,
,,Skills,PA.IX.C.S1,Recognize a system or equipment malfunction and apply appropriate emergency procedures per the POH/AFM based on a scenario provided by the evaluator.,,,,
,,,PA.IX.C.S2,Maintain control of the airplane while managing the malfunction.,,,,
,D. Emergency Equipment and Survival Gear,Objective,PA.IX.D,To determine that the applicant exhibits satisfactory knowledge and risk management associated with emergency equipment and survival gear.,,,,
,,Knowledge,PA.IX.D.K1,"Emergency equipment and survival gear typically carried on board (e.g., fire extinguisher, first aid kit, life vests).",,,,
,,,PA.IX.D.K2,Use and limitations of emergency equipment and survival gear.,,,,
,,Risk Management,PA.IX.D.R1,Failure to ensure availability or proper use of emergency equipment and survival gear.,,,,
,,Skills,PA.IX.D.S1,Identify and explain the use of emergency equipment and survival gear on board the airplane based on a scenario provided by the evaluator.,,,,
XI. Postflight Procedures,"A. After Landing, Parking, and Securing",Objective,PA.XI.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with after-landing, parking, and securing procedures.",,,,
,,Knowledge,PA.XI.A.K1,"After-landing, parking, and securing procedures per the POH/AFM (e.g., shutdown, tie-down).",,,,
,,,PA.XI.A.K2,"Airport ground operations (e.g., taxiway safety, parking areas).",,,,
,,Risk Management,PA.XI.A.R1,Collision hazards with obstacles or other aircraft during ground operations after landing.,,,,
,,,PA.XI.A.R2,Improper securing of the airplane leading to damage from weather or unauthorized use.,,,,
,,Skills,PA.XI.A.S1,"Perform after-landing checklist and taxi to parking or ramp area, adhering to ATC or local procedures.",,,,
,,,PA.XI.A.S2,"Park and secure the airplane using appropriate tie-downs or chocks, completing the shutdown checklist.",,,,
